Customer S.No,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchase,Preferred Payment Method,Frequency of Purchase
1,52,Other,Handbag,Footwear,187.4,New York,S,Gold,Summer,3.3,Active,Digital Wallet,Nextday,No,None,No,Debit Card,Quarterly
2,18,Female,jeans,Electronics,203.95,Houston,L,White,Summer,3.5,Inactive,Apple Pay,Store pickup,No,None,Yes,Debit Card,Yearly
3,47,Other,Perfume,Bags,377.67,New York,S,Gold,All Seasons,1.6,Inactive,PayPal,Nextday,No,None,Yes,Debit Card,Monthly
4,36,Other,Perfume,Footwear,217.59,Seattle,M,Black,Winter,3.4,Inactive,Google Pay,Express,No,None,No,PayPal,Yearly
5,50,Other,Gaming Console,Footwear,339.76,Houston,N/A,Orange,Fall,4.0,Inactive,Debit Card,Standard,Yes,None,No,Google Pay,Yearly
6,37,Female,Perfume,Electronics,231.99,Boston,S,Olive,Summer,3.0,Inactive,Digital Wallet,Standard,No,None,No,PayPal,Bi-Weekly
7,47,Other,Perfume,Clothing,937.84,Las Vegas,M,Purple,All Seasons,1.3,Active,Credit Card,Store pickup,No,None,No,Google Pay,Bi-Weekly
8,40,Female,Backpack,Bags,743.21,Miami,M,Gold,Fall,1.1,Inactive,Google Pay,Store pickup,Yes,BEAUTY5,Yes,PayPal,Weekly
9,22,Female,Dress,Accessories,261.81,Chicago,N/A,Silver,Summer,2.6,Active,Credit Card,Free ship,No,None,Yes,PayPal,Yearly
10,36,Female,Wristwatch,Clothing,799.11,Chicago,L,Green,Summer,5.0,Inactive,Digital Wallet,Standard,No,None,Yes,PayPal,Weekly
11,37,Female,jeans,Footwear,486.34,Denver,N/A,Grey,Fall,2.0,Inactive,Google Pay,Store pickup,Yes,TECH10,No,Apple Pay,Monthly
12,60,Other,Running Shoes,Beauty,42.67,Miami,N/A,Olive,Fall,1.9,Inactive,Google Pay,Free ship,No,None,No,Apple Pay,Bi-Weekly
13,48,Other,Running Shoes,Electronics,388.45,Seattle,S,Green,Winter,2.9,Active,Google Pay,Standard,Yes,SPRING15,No,Debit Card,Quarterly
14,50,Other,jeans,Footwear,79.62,Los Angeles,N/A,White,All Seasons,1.4,Active,Credit Card,Store pickup,Yes,BEAUTY5,Yes,Apple Pay,Monthly
15,51,Other,Gaming Console,Accessories,830.51,Miami,XL,Grey,Summer,3.3,Inactive,Digital Wallet,Standard,Yes,TECH10,No,Credit Card,Weekly
16,36,Male,Running Shoes,Electronics,454.51,San Francisco,S,Black,Spring,3.3,Inactive,PayPal,Nextday,Yes,None,Yes,Debit Card,Yearly
